,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,1st School Rating,status,house_type,year_built,Lotsize,perSq_Ft,Price_Level
0,655 12Th St #112,Oakland,Ca,94607,649000,2 ,2.0,1037 ,96,86,91,76,2.0,New,Condo,2003,0.0,626.0,0
1,4475 Redding St,Oakland,Ca,94619,699000,2 ,2.0,990 ,82,51,47,71,3.0,New,Single Family Residential,1930,3627.0,706.0,0
2,6501 San Pablo Ave #404,Oakland,Ca,94608,685000,1 ,1.5,1010 ,94,59,86,69,4.0,New,Condo,2006,0.0,678.0,0
3,36088 Soapberry Cmns #31,Fremont,Ca,94536,1000000,2 ,2.5,1492 ,76,41,56,77,7.0,Coming Soon,Condo,2007,6721.0,670.0,0
4,2580 Pleasant St,Oakland,Ca,94602,749000,4 ,2.0,1836 ,91,57,68,73,2.0,New,Multi-Family (2-4 Unit),1941,4160.0,408.0,0
5,1858 Brooktree Way,Pleasanton,Ca,94566,1899000,4 ,2.5,2047 ,62,31,65,78,7.0,New,Single Family Residential,1965,10765.0,928.0,1
6,215 Kevington Pl,Alameda,Ca,94502,1499000,3 ,3.0,1876 ,40,33,78,90,9.0,New,Single Family Residential,1979,5667.0,799.0,1
7,1405 Harmon St,Berkeley,Ca,94702,1549888,3 ,2.0,1304 ,90,62,90,74,7.0,New,Single Family Residential,1947,3830.0,1189.0,1
8,3867 Brown Ave,Oakland,Ca,94619,797000,3 ,1.0,1212 ,84,50,60,82,4.0,New,Single Family Residential,1910,6720.0,658.0,0
9,27701 Eucalyptus Ct,Hayward,Ca,94544,799000,3 ,2.5,1549 ,39,51,71,89,3.0,Active,Single Family Residential,1977,2867.0,516.0,0
10,8145 Juniper Ave,Newark,Ca,94560,1150000,3 ,2.0,1657 ,43,0,39,82,3.0,Active,Single Family Home,1961,6405.0,694.0,1
11,1544 D St,Hayward,Ca,94541,1199000,4 ,3.0,2021 ,67,46,52,88,5.0,New,Multi-Family (2-4 Unit),1914,7800.0,593.0,1
12,1500 Plaza Dr,San leandro,Ca,94578,789000,3 ,2.0,1763 ,74,61,59,69,3.0,New,Single Family Residential,1922,4000.0,448.0,0
13,6352 Montcalm Ave,Newark,Ca,94560,1249000,4 ,2.0,1729 ,70,0,52,82,5.0,Active,Single Family Home,1977,7164.0,722.0,1
14,3382 62nd Ave,Oakland,Ca,94605,589000,2 ,1.0,763 ,71,54,48,71,2.0,New,Single Family Residential,1931,3625.0,772.0,0
15,438 W Grand Ave #528,Oakland,Ca,94612,799000,2 ,2.0,1062 ,99,78,96,73,2.0,New,Condo,2008,1256.0,752.0,0
16,5830 Midnight Pl Unit E,Dublin,Ca,94568,1099900,3 ,2.0,1618 ,35,0,81,83,8.0,New,Townhouse,2020,0.0,680.0,1
